,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
75,75,-75.023286890717,6.122064633018454e-09,4.337362724982086e-06,34,885.0,2241,177,236,"d_q_exc_[0, 1]_[4, 13]","[[0, 1], [4, 13]]",-0.0007899881815176175
76,76,-75.02328693312298,4.2405972067172115e-08,4.2949567529149135e-06,43,898.0,2274,177,236,"d_q_exc_[0, 1]_[6, 11]","[[0, 1], [6, 11]]",0.00048685491047619183
77,77,-75.02328752430162,5.911786473689062e-07,3.7037781055460073e-06,187,911.0,2307,178,242,"d_q_exc_[6, 13]_[11, 12]","[[6, 13], [11, 12]]",-0.09329861102432442
78,78,-75.02328753914814,1.4846520457467705e-08,3.6889315850885396e-06,55,924.0,2340,178,242,"d_q_exc_[1, 2]_[6, 11]","[[1, 2], [6, 11]]",0.000449806474106292
79,79,-75.02328755790673,1.875858401945152e-08,3.670173001069088e-06,49,937.0,2373,183,242,"d_q_exc_[1, 3]_[7, 11]","[[1, 3], [7, 11]]",-0.0015423904191700967
80,80,-75.02328757807996,2.0173231973785732e-08,3.6499997690953023e-06,63,950.0,2406,183,248,"d_q_exc_[0, 4]_[10, 12]","[[0, 4], [10, 12]]",0.0005066394961927564
81,81,-75.0232875854056,7.325638762267772e-09,3.6426741303330346e-06,50,963.0,2439,187,254,"d_q_exc_[1, 10]_[12, 13]","[[1, 10], [12, 13]]",0.0007985521083562929
82,82,-75.02328770779347,1.2238787405749463e-07,3.52028625627554e-06,130,976.0,2472,191,260,"d_q_exc_[2, 5]_[7, 12]","[[2, 5], [7, 12]]",0.047928427156683884
83,83,-75.02328771852775,1.0734282795965555e-08,3.5095519734795744e-06,58,989.0,2505,195,266,"d_q_exc_[0, 2]_[4, 12]","[[0, 2], [4, 12]]",0.0007814737062622937
84,84,-75.02328774448053,2.5952772375603672e-08,3.4835992011039707e-06,51,1002.0,2538,201,266,"d_q_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",0.0007965589225372511
