,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
48,48,-75.02319134713784,3.064936038299493e-08,9.988094183199792e-05,16,3504.0,2960,796,486,s_f_exc_0_10,"[[0], [10]]",-2.0786341179197382e-05
49,49,-75.02320463275082,1.3285612979530015e-05,8.65953288524679e-05,50,3648.0,3032,812,486,"d_f_exc_[2, 7]_[5, 12]","[[2, 7], [5, 12]]",-0.020217240390210375
50,50,-75.0232160578676,1.1425116781538236e-05,7.517021207092967e-05,66,3792.0,3104,844,510,"d_f_exc_[3, 6]_[4, 13]","[[3, 6], [4, 13]]",-0.02859933828743457
51,51,-75.0232283240248,1.2266157199292138e-05,6.290405487163753e-05,62,3840.0,3176,844,510,"d_f_exc_[7, 10]_[8, 9]","[[7, 10], [8, 9]]",-0.04915517328783127
52,52,-75.02323347580293,5.1517781258780815e-06,5.7752276745759445e-05,67,3984.0,3248,876,510,"d_f_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",-0.006032873876103451
53,53,-75.02325001034535,1.6534542425006293e-05,4.121773432075315e-05,73,4128.0,3320,908,534,"d_f_exc_[4, 13]_[10, 11]","[[4, 13], [10, 11]]",0.07371462775485772
54,54,-75.0232593651644,9.354819056284214e-06,3.186291526446894e-05,83,4240.0,3392,940,534,"d_f_exc_[5, 12]_[10, 11]","[[5, 12], [10, 11]]",-0.0010105186282271198
55,55,-75.02326353894665,4.173782244265567e-06,2.768913302020337e-05,83,4416.0,3464,972,558,"d_f_exc_[2, 3]_[4, 13]","[[2, 3], [4, 13]]",0.002567866391289792
56,56,-75.02327784390026,1.4304953609212134e-05,1.3384179410991237e-05,91,4464.0,3536,972,582,"d_f_exc_[8, 9]_[12, 13]","[[8, 9], [12, 13]]",0.0014262408087189029
57,57,-75.02327940469466,1.5607944021667208e-06,1.1823385008824516e-05,98,4640.0,3608,1004,606,"d_f_exc_[2, 5]_[6, 13]","[[2, 5], [6, 13]]",-0.256080376783265
58,58,-75.02328113667267,1.7319780027946763e-06,1.009140700602984e-05,93,4784.0,3680,1036,606,"d_f_exc_[2, 4]_[6, 12]","[[2, 4], [6, 12]]",-0.12934603307068968
59,59,-75.02328238895716,1.2522844912155051e-06,8.839122514814335e-06,94,4928.0,3752,1068,630,"d_f_exc_[3, 5]_[7, 13]","[[3, 5], [7, 13]]",0.09202449833090175
60,60,-75.02328478263718,2.3936800204182873e-06,6.4454424943960476e-06,102,5040.0,3824,1100,630,"d_f_exc_[3, 4]_[7, 12]","[[3, 4], [7, 12]]",0.24807677993130492
